中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,54 ms,32 Mbps,4155 kB/s
8.219.251.23,443,47.236.1.53,SG,Singapore,隧道,239 ms,49 Mbps,6360 kB/s
192.9.158.188,443,2a09:bac5:6445:1250::1d3:66,US,San Jose,隧道,78 ms,157 Mbps,20172 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,101 ms,38 Mbps,4975 kB/s
130.61.39.13,443,2603:c020:801c:9969:5536:e049:b1aa:bdf2,DE,Frankfurt,隧道,109 ms,166 Mbps,21299 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,110 ms,209 Mbps,26828 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,192 ms,39 Mbps,5102 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,48 ms,109 Mbps,14028 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,110 ms,66 Mbps,8451 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,206 ms,66 Mbps,8527 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,134 ms,123 Mbps,15769 kB/s
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,211 ms,34 Mbps,4416 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,213 ms,60 Mbps,7785 kB/s
8.222.143.48,443,8.219.96.61,SG,Singapore,隧道,240 ms,48 Mbps,6261 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,199 ms,23 Mbps,2986 kB/s
193.123.185.152,443,2a0b:21c0:100a:1b3:0:67b9:c0b2:8832,DE,Frankfurt,隧道,109 ms,106 Mbps,13619 kB/s
152.70.51.235,443,2a0b:21c0:1007:1cb:0:c68:5dd1:5613,DE,Frankfurt,隧道,107 ms,180 Mbps,23040 kB/s
144.21.33.104,443,2606:f240:f00:83a7:0:c11a:6940:5f81,US,Frankfurt,隧道,109 ms,188 Mbps,24166 kB/s
130.162.144.191,443,2a09:bac5:4753:1a14::299:28,KR,Seoul,隧道,191 ms,33 Mbps,4338 kB/s
129.159.205.103,443,129.159.205.103,DE,Frankfurt,中转,109 ms,44 Mbps,5759 kB/s
138.2.66.92,443,138.2.66.92,SG,Singapore,中转,211 ms,69 Mbps,8896 kB/s
8.222.234.215,443,8.219.96.61,SG,Singapore,隧道,242 ms,56 Mbps,7229 kB/s
152.67.102.137,443,152.67.102.137,AU,Sydney,中转,187 ms,40 Mbps,5163 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,217 ms,35 Mbps,4538 kB/s
8.212.44.95,443,47.76.21.97,HK,Hong Kong,隧道,272 ms,27 Mbps,3500 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,186 ms,7 Mbps,942 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,210 ms,63 Mbps,8068 kB/s
141.147.113.61,443,2606:f240:f00:2be4:0:fbf5:2cb3:fc40,US,Frankfurt,隧道,105 ms,179 Mbps,22937 kB/s
8.212.48.236,443,47.76.21.100,HK,Hong Kong,隧道,215 ms,63 Mbps,8141 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,103 ms,2 Mbps,272 kB/s
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,223 ms,30 Mbps,3872 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,292 ms,36 Mbps,4630 kB/s
8.219.244.215,443,47.245.125.52,SG,Singapore,隧道,240 ms,42 Mbps,5419 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,65 ms,296 Mbps,37990 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,61 ms,99 Mbps,12697 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,191 ms,66 Mbps,8547 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,242 ms,25 Mbps,3255 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,221 ms,67 Mbps,8653 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,50 ms,401 Mbps,51404 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,169 ms,89 Mbps,11468 kB/s
8.222.228.243,443,8.222.222.65,SG,Singapore,隧道,350 ms,48 Mbps,6246 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,144 ms,100 Mbps,12902 kB/s
8.222.222.223,443,8.222.222.65,SG,Singapore,隧道,335 ms,47 Mbps,6041 kB/s
193.123.81.105,443,193.123.81.105,AE,Marseille,中转,205 ms,31 Mbps,4044 kB/s
8.219.118.54,443,47.245.125.52,SG,Singapore,隧道,326 ms,47 Mbps,6096 kB/s
8.219.4.177,443,47.245.84.175,SG,Singapore,隧道,240 ms,61 Mbps,7822 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,191 ms,35 Mbps,4570 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:138,KR,Seoul,隧道,259 ms,79 Mbps,10137 kB/s
8.219.101.43,443,8.222.236.107,SG,Singapore,隧道,322 ms,52 Mbps,6753 kB/s
8.222.242.213,443,47.236.1.53,SG,Singapore,隧道,355 ms,50 Mbps,6508 kB/s
8.219.15.40,443,8.222.222.65,SG,Singapore,隧道,243 ms,53 Mbps,6790 kB/s
8.222.214.109,443,47.245.125.52,SG,Singapore,隧道,239 ms,44 Mbps,5647 kB/s
8.222.252.28,443,8.222.236.107,SG,Singapore,隧道,239 ms,52 Mbps,6685 kB/s
8.219.205.135,443,8.222.207.55,SG,Singapore,隧道,376 ms,47 Mbps,6138 kB/s
8.222.148.174,443,8.219.142.198,SG,Singapore,隧道,240 ms,49 Mbps,6350 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,136 ms,158 Mbps,20275 kB/s
8.219.55.1,443,47.236.1.53,SG,Singapore,隧道,240 ms,50 Mbps,6457 kB/s
8.219.241.251,443,8.222.222.65,SG,Singapore,隧道,402 ms,49 Mbps,6273 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,212 ms,0 Mbps,38 kB/s
141.147.167.125,443,2602:ffe4:407:20d9:0:53fa:f4d7:ba29,SG,Singapore,隧道,390 ms,46 Mbps,5922 kB/s
8.222.144.99,443,8.219.96.61,SG,Singapore,隧道,243 ms,59 Mbps,7636 kB/s
8.222.248.129,443,8.222.236.107,SG,Singapore,隧道,239 ms,58 Mbps,7431 kB/s
8.219.137.222,443,8.222.220.238,SG,Singapore,隧道,243 ms,54 Mbps,7000 kB/s
8.222.192.81,443,8.219.142.198,SG,Singapore,隧道,240 ms,54 Mbps,6991 kB/s
8.222.185.14,443,8.222.207.55,SG,Singapore,隧道,240 ms,55 Mbps,7047 kB/s
8.222.178.195,443,8.219.142.198,SG,Singapore,隧道,242 ms,56 Mbps,7170 kB/s
8.222.248.175,443,47.236.58.234,SG,Singapore,隧道,240 ms,54 Mbps,6940 kB/s
8.219.208.40,443,8.219.142.198,SG,Singapore,隧道,240 ms,54 Mbps,6979 kB/s
8.222.246.121,443,8.222.207.55,SG,,隧道,240 ms,49 Mbps,6370 kB/s
47.57.245.232,443,47.88.7.145,US,San Jose,隧道,212 ms,1 Mbps,213 kB/s
8.222.170.103,443,47.245.125.52,SG,Singapore,隧道,240 ms,56 Mbps,7170 kB/s
47.57.14.118,443,47.254.95.194,US,San Jose,隧道,0 ms,0 Mbps,29 kB/s
