中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
8.219.70.151,443,8.219.70.151,SG,Singapore,中转,213 ms,75 Mbps,9650 kB/s,9650.0
8.219.103.65,443,8.219.103.65,SG,Singapore,中转,210 ms,74 Mbps,9585 kB/s,9585.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,271 ms,74 Mbps,9565 kB/s,9565.0
8.219.199.220,443,8.219.199.220,SG,Singapore,中转,209 ms,73 Mbps,9417 kB/s,9417.0
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,269 ms,72 Mbps,9343 kB/s,9343.0
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,212 ms,72 Mbps,9336 kB/s,9336.0
131.186.62.248,443,131.186.62.248,JP,Tokyo,中转,301 ms,72 Mbps,9332 kB/s,9332.0
8.219.164.237,443,8.219.164.237,SG,Singapore,中转,211 ms,72 Mbps,9292 kB/s,9292.0
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,213 ms,72 Mbps,9292 kB/s,9292.0
8.222.222.64,443,8.222.222.64,SG,Singapore,中转,216 ms,72 Mbps,9286 kB/s,9286.0
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,211 ms,72 Mbps,9272 kB/s,9272.0
8.222.181.117,443,8.222.181.117,SG,Singapore,中转,212 ms,71 Mbps,9175 kB/s,9175.0
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,212 ms,71 Mbps,9121 kB/s,9121.0
150.230.221.148,443,150.230.221.148,JP,Tokyo,中转,200 ms,71 Mbps,9119 kB/s,9119.0
8.219.98.13,443,8.219.98.13,SG,Singapore,中转,209 ms,70 Mbps,9083 kB/s,9083.0
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,209 ms,70 Mbps,9063 kB/s,9063.0
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,274 ms,70 Mbps,9030 kB/s,9030.0
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,209 ms,70 Mbps,8976 kB/s,8976.0
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,327 ms,69 Mbps,8910 kB/s,8910.0
8.219.200.145,443,8.219.200.145,SG,Singapore,中转,234 ms,69 Mbps,8868 kB/s,8868.0
141.147.147.28,443,104.28.206.113,JP,Osaka,隧道,209 ms,68 Mbps,8826 kB/s,8826.0
8.219.126.240,443,8.219.126.240,SG,Singapore,中转,357 ms,68 Mbps,8809 kB/s,8809.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,205 ms,68 Mbps,8806 kB/s,8806.0
129.159.241.172,443,129.159.241.172,DE,,中转,111 ms,68 Mbps,8721 kB/s,8721.0
140.83.37.223,443,2a09:bac5:442a:dc::16:18b,JP,Tokyo,隧道,204 ms,68 Mbps,8716 kB/s,8716.0
8.219.248.47,443,8.219.248.47,SG,Singapore,中转,215 ms,67 Mbps,8585 kB/s,8585.0
8.219.54.203,443,8.219.54.203,SG,Singapore,中转,209 ms,66 Mbps,8549 kB/s,8549.0
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,216 ms,66 Mbps,8519 kB/s,8519.0
124.156.202.172,443,124.156.202.172,SG,,中转,215 ms,66 Mbps,8508 kB/s,8508.0
8.219.174.213,443,8.219.174.213,SG,Singapore,中转,246 ms,66 Mbps,8458 kB/s,8458.0
8.219.67.133,443,8.219.67.133,SG,Singapore,中转,211 ms,65 Mbps,8413 kB/s,8413.0
8.222.208.38,443,8.222.208.38,SG,Singapore,中转,212 ms,65 Mbps,8392 kB/s,8392.0
8.219.124.227,443,8.219.124.227,SG,Singapore,中转,262 ms,65 Mbps,8389 kB/s,8389.0
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,210 ms,64 Mbps,8253 kB/s,8253.0
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,211 ms,64 Mbps,8251 kB/s,8251.0
8.219.190.62,443,8.219.190.62,SG,Singapore,中转,210 ms,64 Mbps,8228 kB/s,8228.0
8.219.0.162,443,8.219.0.162,SG,Singapore,中转,216 ms,64 Mbps,8192 kB/s,8192.0
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,24 ms,63 Mbps,8150 kB/s,8150.0
8.222.226.92,443,8.222.226.92,SG,Singapore,中转,212 ms,63 Mbps,8146 kB/s,8146.0
8.219.170.232,443,8.219.170.232,SG,Singapore,中转,211 ms,63 Mbps,8093 kB/s,8093.0
144.24.243.207,443,144.24.243.207,CH,,中转,162 ms,63 Mbps,8070 kB/s,8070.0
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,217 ms,62 Mbps,8012 kB/s,8012.0
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,215 ms,62 Mbps,8006 kB/s,8006.0
47.245.86.230,443,47.245.86.230,SG,Singapore,中转,210 ms,62 Mbps,7936 kB/s,7936.0
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,216 ms,61 Mbps,7874 kB/s,7874.0
8.222.137.192,443,8.222.137.192,SG,Singapore,中转,267 ms,60 Mbps,7785 kB/s,7785.0
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,297 ms,60 Mbps,7784 kB/s,7784.0
8.219.66.156,443,8.219.66.156,SG,Osaka,中转,209 ms,60 Mbps,7740 kB/s,7740.0
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,215 ms,60 Mbps,7694 kB/s,7694.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,229 ms,59 Mbps,7614 kB/s,7614.0
47.243.107.148,443,47.243.107.148,HK,Hong Kong,中转,264 ms,58 Mbps,7439 kB/s,7439.0
8.219.51.211,443,8.219.51.211,SG,Singapore,中转,215 ms,57 Mbps,7422 kB/s,7422.0
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,203 ms,57 Mbps,7382 kB/s,7382.0
152.69.234.162,443,2602:ffe4:407:21d9:0:4701:9f48:9584,SG,Singapore,隧道,227 ms,57 Mbps,7362 kB/s,7362.0
8.219.109.183,443,8.219.109.183,SG,Singapore,中转,209 ms,57 Mbps,7304 kB/s,7304.0
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,216 ms,54 Mbps,7020 kB/s,7020.0
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,213 ms,53 Mbps,6903 kB/s,6903.0
144.24.85.158,443,144.24.85.158,KR,Seoul,中转,176 ms,52 Mbps,6666 kB/s,6666.0
43.205.48.107,443,43.205.48.107,IN,,中转,223 ms,51 Mbps,6638 kB/s,6638.0
132.145.82.137,443,132.145.82.137,KR,,中转,219 ms,51 Mbps,6583 kB/s,6583.0
193.123.235.59,443,193.123.235.59,KR,Tokyo,中转,171 ms,50 Mbps,6435 kB/s,6435.0
103.137.63.3,443,61.224.70.137,TW,,隧道,191 ms,49 Mbps,6391 kB/s,6391.0
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,106 ms,49 Mbps,6360 kB/s,6360.0
155.248.202.141,443,155.248.202.141,US,San Jose,中转,150 ms,49 Mbps,6334 kB/s,6334.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,47 Mbps,6104 kB/s,6104.0
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,100 ms,47 Mbps,6053 kB/s,6053.0
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,225 ms,47 Mbps,6030 kB/s,6030.0
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,52 ms,47 Mbps,6028 kB/s,6028.0
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,32 ms,47 Mbps,6027 kB/s,6027.0
144.24.188.240,443,144.24.188.240,DE,Frankfurt,中转,187 ms,44 Mbps,5728 kB/s,5728.0
152.67.65.201,443,152.67.65.201,CH,Milan,中转,114 ms,44 Mbps,5700 kB/s,5700.0
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,83 ms,44 Mbps,5659 kB/s,5659.0
