中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
8.219.99.49,443,8.219.99.49,SG,Singapore,中转,251 ms,54 Mbps,7013 kB/s
141.147.147.28,443,104.28.206.113,JP,Osaka,隧道,212 ms,67 Mbps,8671 kB/s
8.219.74.35,443,8.219.74.35,SG,Singapore,中转,251 ms,49 Mbps,6335 kB/s
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,358 ms,55 Mbps,7160 kB/s
8.219.51.211,443,8.219.51.211,SG,Singapore,中转,255 ms,49 Mbps,6342 kB/s
8.222.140.87,443,8.222.140.87,SG,Singapore,中转,251 ms,49 Mbps,6274 kB/s
8.222.157.86,443,8.222.157.86,SG,Singapore,中转,341 ms,22 Mbps,2934 kB/s
146.70.175.168,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,101 ms,171 Mbps,21913 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,250 ms,48 Mbps,6186 kB/s
8.219.213.112,443,8.219.213.112,SG,Singapore,中转,252 ms,55 Mbps,7145 kB/s
146.70.175.98,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,106 ms,163 Mbps,20889 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,102 ms,43 Mbps,5569 kB/s
144.24.83.39,443,144.24.83.39,KR,Hong Kong,中转,177 ms,92 Mbps,11878 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,107 ms,197 Mbps,25292 kB/s
47.242.68.32,443,47.242.68.32,HK,,中转,192 ms,0 Mbps,1 kB/s
146.70.175.163,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,102 ms,194 Mbps,24883 kB/s
8.222.138.164,443,8.222.138.164,SG,Singapore,中转,251 ms,64 Mbps,8302 kB/s
47.88.15.127,443,47.88.15.127,,San Jose,中转,0 ms,129 Mbps,16588 kB/s
8.218.122.55,443,8.218.122.55,HK,Hong Kong,中转,196 ms,69 Mbps,8858 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,94 ms,40 Mbps,5202 kB/s
8.218.65.237,443,8.218.65.237,HK,Hong Kong,中转,194 ms,66 Mbps,8504 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,110 ms,109 Mbps,14028 kB/s
8.219.102.252,443,8.219.102.252,SG,Singapore,中转,359 ms,55 Mbps,7141 kB/s
47.254.66.75,443,47.254.66.75,US,San Jose,中转,119 ms,220 Mbps,28160 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,111 ms,177 Mbps,22732 kB/s
23.90.144.169,443,23.90.151.62,DE,Frankfurt,隧道,105 ms,170 Mbps,21811 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,190 ms,45 Mbps,5832 kB/s
146.70.175.179,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,261 ms,174 Mbps,22323 kB/s
47.57.245.232,443,47.88.1.44,US,San Jose,隧道,198 ms,2 Mbps,334 kB/s
146.70.175.123,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,111 ms,168 Mbps,21606 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,111 ms,214 Mbps,27443 kB/s
129.150.62.109,443,129.150.62.109,SG,Singapore,中转,215 ms,72 Mbps,9248 kB/s
146.56.38.45,443,2a09:bac5:4750:dc::16:19e,KR,Tokyo,隧道,251 ms,34 Mbps,4443 kB/s
8.222.212.219,443,8.222.212.219,SG,Singapore,中转,252 ms,69 Mbps,8951 kB/s
146.70.175.102,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,157 ms,199 Mbps,25497 kB/s
146.70.175.122,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,163 ms,194 Mbps,24883 kB/s
47.251.74.226,443,91.149.239.70,US,Los Angeles,隧道,53 ms,112 Mbps,14336 kB/s
146.70.175.119,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,102 ms,190 Mbps,24371 kB/s
8.218.207.169,443,8.218.207.169,HK,Hong Kong,中转,198 ms,64 Mbps,8314 kB/s
146.70.175.108,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,102 ms,188 Mbps,24064 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,251 ms,56 Mbps,7245 kB/s
8.222.214.231,443,8.222.214.231,SG,Singapore,中转,319 ms,56 Mbps,7174 kB/s
8.219.206.180,443,8.219.206.180,SG,Singapore,中转,337 ms,59 Mbps,7612 kB/s
8.222.137.192,443,8.222.137.192,SG,Singapore,中转,251 ms,51 Mbps,6654 kB/s
47.242.171.94,443,47.242.171.94,HK,Hong Kong,中转,250 ms,68 Mbps,8741 kB/s
8.219.228.157,443,8.219.228.157,SG,Singapore,中转,255 ms,50 Mbps,6424 kB/s
146.70.175.183,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,102 ms,174 Mbps,22323 kB/s
8.219.70.151,443,8.219.70.151,SG,Singapore,中转,251 ms,51 Mbps,6639 kB/s
138.2.77.83,443,2603:c024:4501:7300:4f3c:4ab0:7477:b34d,SG,Singapore,隧道,214 ms,33 Mbps,4328 kB/s
8.219.170.232,443,8.219.170.232,SG,Singapore,中转,251 ms,48 Mbps,6202 kB/s
8.222.211.16,443,8.222.211.16,SG,Singapore,中转,334 ms,55 Mbps,7094 kB/s
8.222.197.251,443,8.222.197.251,SG,Singapore,中转,254 ms,46 Mbps,5982 kB/s
8.219.190.62,443,8.219.190.62,SG,Singapore,中转,344 ms,48 Mbps,6221 kB/s
8.219.167.65,443,8.219.167.65,SG,Singapore,中转,250 ms,47 Mbps,6069 kB/s
