中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,191 ms,39 Mbps,5039 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,283 ms,36 Mbps,4709 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,253 ms,25 Mbps,3327 kB/s
8.219.188.119,443,47.84.41.244,SG,Singapore,隧道,272 ms,62 Mbps,7944 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,262 ms,88 Mbps,11366 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,249 ms,37 Mbps,4851 kB/s
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,232 ms,60 Mbps,7733 kB/s
8.210.58.6,443,8.210.58.6,HK,Hong Kong,中转,279 ms,11 Mbps,1463 kB/s
8.219.218.135,443,47.84.41.244,SG,Singapore,隧道,255 ms,52 Mbps,6701 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,108 ms,0 Mbps,12 kB/s
8.219.209.155,443,47.245.127.33,SG,Singapore,隧道,229 ms,1 Mbps,191 kB/s
47.57.14.118,443,47.88.1.156,US,San Jose,隧道,227 ms,0 Mbps,21 kB/s
47.57.245.232,443,47.88.1.44,US,San Jose,隧道,226 ms,0 Mbps,41 kB/s
